iter	Passed	Remaining
0	1	187
1	3	171
2	5	163
3	6	157
4	8	152
5	9	152
6	11	148
7	12	144
8	14	143
9	15	143
10	17	141
11	19	139
12	20	137
13	22	135
14	23	134
15	25	134
16	27	134
17	29	132
18	30	131
19	32	128
20	33	126
21	35	124
22	36	121
23	37	120
24	39	118
25	40	116
26	42	114
27	43	112
28	45	110
29	46	108
30	47	106
31	48	104
32	50	101
33	51	99
34	52	97
35	54	96
36	55	94
37	56	92
38	58	90
39	59	88
40	60	87
41	61	85
42	63	83
43	64	81
44	65	79
45	66	78
46	68	76
47	69	75
48	71	74
49	72	72
50	74	71
51	76	70
52	77	69
53	79	67
54	81	66
55	82	65
56	84	64
57	86	62
58	88	61
59	90	60
60	91	58
61	93	57
62	94	55
63	96	54
64	98	52
65	100	51
66	102	50
67	104	49
68	105	47
69	107	46
70	109	44
71	111	43
72	113	41
73	115	40
74	117	39
75	119	37
76	121	36
77	122	34
78	124	32
79	125	31
80	127	29
81	129	28
82	130	26
83	132	25
84	134	23
85	135	22
86	137	20
87	138	18
88	140	17
89	142	15
90	144	14
91	145	12
92	147	11
93	149	9
94	151	7
95	153	6
96	155	4
97	157	3
98	159	1
99	161	0
